"","team_api_id","sum_goal","team_long_name","build_up_play","chance_creation","defense_work"
"133",8596,68,"Falkirk",NA,200,200
"134",8597,346,"Kilmarnock",158,158,144
"135",8600,415,"Udinese",185,189,154
"136",8602,118,"Wolverhampton Wanderers",136,150,150
"137",8603,225,"Real Betis Balompié",145,155,165
"138",8611,509,"FC Twente",131,140,140
"139",8613,51,"Boavista FC",153,128,148
"140",8614,76,"Sparta Rotterdam",NA,140,90
"141",8633,843,"Real Madrid CF",153,165,175
"142",8634,849,"FC Barcelona",122,141,191
"143",8635,427,"RSC Anderlecht",149,160,164
"144",8636,496,"Inter",181,169,159
"145",8639,450,"LOSC Lille",124,184,149
"146",8640,652,"PSV",153,125,128
"147",8649,192,"Ross County FC",153,153,123
"148",8650,531,"Liverpool",171,114,164
"149",8654,326,"West Ham United",171,170,108
"150",8655,175,"Blackburn Rovers",185,159,157
"151",8658,75,"Birmingham City",163,203,143
"152",8659,305,"West Bromwich Albion",145,163,130
"153",8661,238,"RCD Mallorca",172,163,156
"154",8667,144,"Hull City",151,159,121
"155",8668,439,"Everton",128,135,169
"156",8673,409,"Legia Warszawa",137,167,168
"157",8674,390,"FC Groningen",142,170,149
"158",8678,45,"Bournemouth",130,141,160
"159",8682,79,"Le Mans FC",NA,167,142
"160",8686,530,"Roma",142,191,141
"161",8689,378,"FC Lorient",149,147,162
"162",8690,30,"Reggio Calabria",163,184,138
"163",8696,160,"Racing Santander",147,159,151
"164",8697,423,"SV Werder Bremen",174,192,183
"165",8721,463,"VfL Wolfsburg",170,185,167
"166",8722,226,"1. FC Köln",171,164,149
"167",9746,30,"Le Havre AC",154,155,154
"168",9747,122,"En Avant de Guingamp",158,134,145
"169",9748,497,"Olympique Lyonnais",161,170,140
"170",9761,294,"NAC Breda",153,128,115
"171",9764,110,"Gil Vicente FC",176,147,132
"172",9765,29,"Portimonense",NA,NA,NA
"173",9768,411,"Sporting CP",178,147,174
"174",9771,85,"União de Leiria, SAD",NA,148,154
"175",9772,568,"SL Benfica",177,185,171
"176",9773,541,"FC Porto",173,190,178
"177",9776,29,"Eintracht Braunschweig",164,172,157
"178",9777,77,"Servette FC",NA,164,143
"179",9783,241,"RC Deportivo de La Coruña",155,145,154
"180",9788,403,"Borussia Mönchengladbach",116,113,128
"181",9789,551,"Borussia Dortmund",148,163,176
"182",9790,344,"Hamburger SV",150,167,134
"183",9791,403,"Heracles Almelo",147,165,169
"184",9798,43,"Reading",144,169,150
"185",9800,257,"St. Mirren",124,164,166
"186",9803,343,"Roda JC Kerkrade",133,146,118
"187",9804,241,"Torino",174,159,137
"188",9807,148,"CF Os Belenenses",156,128,135
"189",9809,71,"Naval 1° de Maio",NA,135,121
"190",9810,296,"Eintracht Frankfurt",130,145,145
"191",9817,40,"Watford",145,141,135
"192",9823,653,"FC Bayern Munich",97,90,184
"193",9824,100,"FC Vaduz",141,137,133
"194",9825,573,"Arsenal",140,118,147
"195",9826,119,"Crystal Palace",173,186,111
"196",9827,404,"Girondins de Bordeaux",139,156,158
"197",9829,287,"AS Monaco",137,133,169
"198",9830,135,"FC Nantes",189,153,132
"199",9831,342,"OGC Nice",156,153,165
"200",9836,38,"Dijon FCO",154,153,149
"201",9837,168,"Stade de Reims",134,158,127
"202",9839,152,"VVV-Venlo",NA,164,120
"203",9847,568,"Paris Saint-Germain",130,158,166
"204",9850,160,"Norwich City",138,147,128
"205",9851,367,"Stade Rennais FC",167,165,141
"206",9853,371,"AS Saint-Étienne",165,164,148
"207",9855,55,"Grenoble Foot 38",NA,150,140
"208",9857,263,"Bologna",164,132,132
"209",9858,34,"Brescia",141,158,150
"210",9860,317,"Heart of Midlothian",168,176,158
"211",9864,377,"Málaga CF",129,131,136
"212",9865,202,"UD Almería",152,151,135
"213",9867,40,"CD Tenerife",163,161,171
"214",9868,38,"Xerez Club Deportivo",NA,138,153
"215",9869,200,"Real Sporting de Gijón",153,159,140
"216",9873,256,"Valenciennes FC",160,174,144
"217",9874,246,"FC Sochaux-Montbéliard",164,176,146
"218",9875,514,"Napoli",160,189,157
"219",9876,145,"Hellas Verona",124,148,158
"220",9878,27,"Pescara",148,131,128
"221",9879,265,"Fulham",134,152,98
"222",9880,98,"Cesena",138,163,145
"223",9882,318,"Sampdoria",130,130,154
"224",9885,543,"Juventus",105,195,135
"225",9888,121,"Lecce",NA,135,140
"226",9891,35,"Frosinone",157,151,159
"227",9904,359,"Hannover 96",144,129,146
"228",9905,320,"1. FSV Mainz 05",156,133,164
"229",9906,524,"Atlético Madrid",157,172,143
"230",9908,408,"FC Utrecht",143,147,159
"231",9910,184,"RC Celta de Vigo",152,139,169
"232",9911,72,"VfL Bochum",164,172,172
"233",9912,29,"DSC Arminia Bielefeld",166,159,138
"234",9925,695,"Celtic",156,164,169
"235",9927,403,"Motherwell",165,116,132
"236",9930,153,"FC Aarau",142,181,145
"237",9931,619,"FC Basel",170,186,158
"238",9938,438,"Dundee United",171,149,143
"239",9941,339,"Toulouse FC",158,122,130
"240",9956,429,"Grasshopper Club Zürich",164,152,126
"241",9976,76,"Bari",157,143,156
"242",9984,213,"KSV Cercle Brugge",145,152,168
"243",9985,341,"Standard de Liège",161,173,151
"244",9986,201,"Sporting Charleroi",160,146,136
"245",9987,348,"KRC Genk",148,155,163
"246",9989,113,"Lierse SK",171,169,152
"247",9991,390,"KAA Gent",142,142,155
"248",9993,174,"Beerschot AC",NA,151,158
"249",9994,279,"Sporting Lokeren",159,154,149
"250",9996,42,"Royal Excel Mouscron",150,150,140
"251",9997,115,"Sint-Truidense VV",NA,154,113
"252",9998,129,"RAEC Mons",160,168,138
"253",9999,62,"KSV Roeselare",NA,125,205
"254",10000,306,"SV Zulte-Waregem",147,131,139
"255",10001,217,"KVC Westerlo",148,144,146
"256",10003,233,"Swansea City",131,125,120
"257",10167,272,"Parma",147,176,132
"258",10172,115,"Queens Park Rangers",130,166,148
"259",10179,371,"FC Sion",155,165,146
"260",10189,426,"FC Schalke 04",143,162,170
"261",10190,276,"FC St. Gallen",146,115,128
"262",10191,279,"FC Thun",152,166,145
"263",10192,529,"BSC Young Boys",172,151,128
"264",10194,322,"Stoke City",138,159,132
"265",10199,421,"FC Luzern",165,160,151
"266",10205,364,"Villarreal CF",126,143,139
"267",10211,93,"SC Beira Mar",NA,165,150
"268",10212,316,"CS Marítimo",176,186,133
"269",10213,26,"Amadora",NA,NA,NA
"270",10214,332,"CD Nacional",167,150,141
"271",10215,240,"Académica de Coimbra",150,166,138
"272",10217,366,"ADO Den Haag",162,145,142
"273",10218,154,"Excelsior",163,136,106
"274",10219,153,"RKC Waalwijk",142,133,99
"275",10228,470,"SC Heerenveen",150,152,138
"276",10229,492,"AZ",154,173,166
"277",10233,392,"Genoa",184,134,127
"278",10235,489,"Feyenoord",131,146,129
"279",10238,238,"Vitória Setúbal",149,158,132
"280",10242,71,"ES Troyes AC",148,147,137
"281",10243,468,"FC Zürich",157,151,146
"282",10249,344,"Montpellier Hérault SC",162,142,157
"283",10251,259,"Hibernian",148,139,124
"284",10252,335,"Aston Villa",154,146,133
"285",10260,582,"Manchester United",124,133,163
"286",10261,324,"Newcastle United",152,147,131
"287",10264,398,"SC Braga",145,166,120
"288",10265,332,"Wisla Kraków",119,101,157
"289",10267,484,"Valencia CF",116,146,147
"290",10268,65,"Elche CF",151,164,158
"291",10269,415,"VfB Stuttgart",155,172,117
"292",10278,36,"Hércules Club de Fútbol",154,178,160
"293",10281,170,"Real Valladolid",148,147,134
"294",108893,21,"AC Arles-Avignon",156,138,158
"295",158085,101,"FC Arouca",170,160,113
"296",177361,33,"Termalica Bruk-Bet Nieciecza",NA,NA,NA
"297",188163,34,"Tondela",NA,NA,NA
"298",208931,37,"Carpi",190,160,115
"299",274581,71,"Royal Excel Mouscron",150,150,140
